FOLIO_INT,Calorias_semana,Proteina_semana,CarboHidratos_semana,Lipidos_semana
2022_13056021_02,9473.8,1185.28,446.24,423.8
2022_13057024_02,8976.4,1305.95,309.49,283.56
2022_13057025_01,20180.4,3002.57,652.13,647.78
2022_13057038_03,7649.3,929.78,301.71,297.31
2022_13076016_01,14716.1,1796.12,583.174,650.32
2022_13076049_02,11155.4,1449.03,394.876,443.31
2022_13076056_04,4133.4,539.13,157.91,114.08
2022_13077011_01,16206.9,1817.87,620.0799999999999,802.86
2022_14021005_01,4125.6,627.53,92.476,179.74
2022_14021010_02,7939.2,1028.32,343.796,277.68
2022_14067009_03,17435.6,2271.15,680.216,675.5
2022_14067025_01,6006.5,900.84,197.528,257.42
2022_14093005_01,5763.6,771.24,234.48,265.96000000000004
2022_14097025_02,8621.7,1220.87,422.603,366.11
2022_14098004_01,18570.65,3092.33,552.172,586.19
2022_14098008_02,7890.0,986.98,293.51,322.26
2022_15012005_01,12353.1,1659.48,393.28,491.79
2022_15012017_01,11934.9,1691.88,500.388,509.39000000000004
2022_15025010_02,12028.2,1512.58,459.22999999999996,477.36
2022_15031005_01,3859.7,580.76,150.88400000000001,145.45
2022_15031013_03,16182.8,1581.12,688.962,954.645
2022_15031015_02,14100.3,2114.7,401.94,597.96
2022_15031016_05,5839.6,607.76,295.298,230.48
2022_15031018_05,10514.2,1479.89,406.49,311.19
2022_15031031_02,6570.8,1067.6200000000001,192.948,190.18
2022_15033004_01,9726.7,1286.74,407.95,335.46999999999997
2022_15033007_02,8306.4,1108.88,308.684,280.95
2022_15033020_01,12076.6,1676.36,461.59,360.1
2022_15033031_01,6942.1,995.8199999999999,238.95,219.53
2022_15033054_02,8173.8,1168.78,463.026,358.37
2022_15033062_01,4297.3,521.73,203.278,192.42000000000002
2022_15033101_01,8146.8,1159.1000000000001,267.8,333.39000000000004
2022_15037020_02,4960.7,699.01,136.49,220.3
2022_15037038_01,2657.6,394.85,73.32,107.9
2022_15039031_02,9512.0,1531.69,751.976,356.75
2022_15039037_03,13185.25,1799.54,464.628,513.49
2022_15039041_03,7050.1,1025.75,248.77800000000002,171.47
2022_15054006_03,10001.4,1070.11,446.834,473.86
2022_15054013_02,6849.3,1024.33,228.72,231.18
2022_15054015_05,13302.05,1686.68,613.5,483.02
2022_15054016_02,7197.5,1101.72,288.846,264.15000000000003
